index,name,score
332,channel-3 life all max,0.0223472814402216
333,channel-3 life all mean,0.0588601372908553
334,channel-3 life all std,0.0219422551689294
335,channel-3 life all sum,0.1323946822081608
336,channel-3 life all norm-1,0.1323946822081608
337,channel-3 life all norm-2,0.0634303537242063
338,channel-3 life dim-1 max,0.0223472814402216
339,channel-3 life dim-1 mean,0.0449639516474085
340,channel-3 life dim-1 std,0.0343784605262471
341,channel-3 life dim-1 sum,0.1499974956226955
342,channel-3 life dim-1 norm-1,0.1499974956226955
343,channel-3 life dim-1 norm-2,0.0403928086345795
344,channel-3 life dim-2 max,-0.010420320515987
345,channel-3 life dim-2 mean,0.0492717945164879
346,channel-3 life dim-2 std,-0.0098571930022226
347,channel-3 life dim-2 sum,0.0279668566153957
348,channel-3 life dim-2 norm-1,0.0279668566153957
349,channel-3 life dim-2 norm-2,0.0206644030141308
350,channel-3 bd2 all max,0.0037534512439358
351,channel-3 bd2 all mean,0.0540549833636393
352,channel-3 bd2 all std,0.0409187796093814
353,channel-3 bd2 all sum,0.0803937597264148
354,channel-3 bd2 all norm-1,0.0803937597264148
355,channel-3 bd2 all norm-2,0.1393746488224835
356,channel-3 bd2 dim-1 max,0.0028071092064307
357,channel-3 bd2 dim-1 mean,0.1282445790262737
358,channel-3 bd2 dim-1 std,-0.0003272589708072
359,channel-3 bd2 dim-1 sum,0.1723087213349134
360,channel-3 bd2 dim-1 norm-1,0.1723087213349134
361,channel-3 bd2 dim-1 norm-2,0.1883487311000696
362,channel-3 bd2 dim-2 max,0.0004596247201282
363,channel-3 bd2 dim-2 mean,0.0704135235278442
364,channel-3 bd2 dim-2 std,0.0186942728215514
365,channel-3 bd2 dim-2 sum,0.0532419252668178
366,channel-3 bd2 dim-2 norm-1,0.0532419252668178
367,channel-3 bd2 dim-2 norm-2,0.0202278419530252
368,channel-4 entropy dim-1,0.1065750838362064
369,channel-4 entropy dim-2,-0.0049226030536734
370,channel-4 numberofpoints dim-1,0.0823138611461864
371,channel-4 numberofpoints dim-2,0.0434935035255953
372,channel-4 amplitude-bottleneck dim-1,0.0470021008184517
373,channel-4 amplitude-bottleneck dim-2,-0.0095090147728586
374,channel-4 amplitude-bottleneck norm-1,0.0563110783992758
375,channel-4 amplitude-bottleneck norm-2,0.0499035314502569
376,channel-4 amplitude-wasserstein-1 dim-1,0.1708581483600493
377,channel-4 amplitude-wasserstein-1 dim-2,0.0751610518377791
378,channel-4 amplitude-wasserstein-1 norm-1,0.0506062085698583
379,channel-4 amplitude-wasserstein-1 norm-2,0.0423451789043151
380,channel-4 amplitude-wasserstein-2 dim-1,0.1472709024893578
381,channel-4 amplitude-wasserstein-2 dim-2,0.0359018105966193
382,channel-4 amplitude-wasserstein-2 norm-1,0.1262004469196571
383,channel-4 amplitude-wasserstein-2 norm-2,0.1491481767902504
384,channel-4 amplitude-betti-1 dim-1,0.2929217914524126
385,channel-4 amplitude-betti-1 dim-2,0.040386113800006
386,channel-4 amplitude-betti-1 norm-1,0.2635486677767398
387,channel-4 amplitude-betti-1 norm-2,0.275791771926943
388,channel-4 amplitude-betti-2 dim-1,0.1791417842007993
389,channel-4 amplitude-betti-2 dim-2,0.0291330402001284
390,channel-4 amplitude-betti-2 norm-1,0.1505035351165708
391,channel-4 amplitude-betti-2 norm-2,0.1656487097051116
392,channel-4 amplitude-landscape-1-1 dim-1,0.0436653955529
393,channel-4 amplitude-landscape-1-1 dim-2,-0.0056361176860622
394,channel-4 amplitude-landscape-1-1 norm-1,0.0472015405509642
395,channel-4 amplitude-landscape-1-1 norm-2,0.0439086477876875
396,channel-4 amplitude-landscape-1-2 dim-1,0.0627489797311383
