index,name,score,mean,variance,unique_values
143,channel-1 amplitude-silhouette-2-1 norm-2,1.20584376104977,1.3585903169409181e-17,1.0,1046
144,channel-1 amplitude-silhouette-2-2 dim-1,1.2380318102796624,4.0757709508227546e-17,0.9999999999999998,1046
145,channel-1 amplitude-silhouette-2-2 dim-2,0.7072733291918916,-4.203138793035966e-17,1.0,1015
146,channel-1 amplitude-silhouette-2-2 norm-1,1.1989735614880326,-6.792951584704591e-17,1.0000000000000002,1046
147,channel-1 amplitude-silhouette-2-2 norm-2,1.2297841381086752,-1.3585903169409181e-17,1.0,1046
148,channel-1 life all max,0.8520777321524662,1.3585903169409182e-16,1.0,1046
149,channel-1 life all mean,0.4981671912812805,2.4454625704936526e-16,1.0,1046
150,channel-1 life all std,0.824444941657204,0.0,1.0,1046
151,channel-1 life all sum,0.4908834741558722,-2.173744507105469e-16,1.0,1046
152,channel-1 life all norm-1,0.4908834741558722,-2.173744507105469e-16,1.0,1046
153,channel-1 life all norm-2,0.566279771157026,1.8340969278702395e-16,1.0000000000000002,1046
154,channel-1 life dim-1 max,0.8990765714187219,-1.0868722535527345e-16,1.0,1046
155,channel-1 life dim-1 mean,0.5307090133559726,2.7171806338818362e-17,1.0000000000000002,1046
156,channel-1 life dim-1 std,0.7421045658145655,8.151541901645509e-17,0.9999999999999998,1046
157,channel-1 life dim-1 sum,0.5783188280825095,1.3585903169409182e-16,1.0000000000000002,1046
158,channel-1 life dim-1 norm-1,0.5783188280825095,1.3585903169409182e-16,1.0000000000000002,1046
159,channel-1 life dim-1 norm-2,0.6115416960713681,-2.6152863601112674e-16,1.0,1046
160,channel-1 life dim-2 max,0.4472857248553441,8.151541901645509e-17,1.0,1043
161,channel-1 life dim-2 mean,0.5547250230692643,-3.141740107925873e-17,1.0000000000000002,1043
162,channel-1 life dim-2 std,0.3686751770627354,-1.1208370114762574e-16,0.9999999999999996,1023
163,channel-1 life dim-2 sum,0.12562307967063804,2.0378854754113773e-17,0.9999999999999996,1043
164,channel-1 life dim-2 norm-1,0.12562307967063804,2.0378854754113773e-17,0.9999999999999996,1043
165,channel-1 life dim-2 norm-2,0.2266829929402023,-3.056828213117066e-16,0.9999999999999998,1043
166,channel-1 bd2 all max,0.395558775235954,-2.037885475411377e-16,1.0,1046
167,channel-1 bd2 all mean,0.4462662275731293,7.081652027054536e-16,0.9999999999999998,1046
168,channel-1 bd2 all std,0.4951907225352908,-1.6303083803291018e-16,1.0,1046
169,channel-1 bd2 all sum,0.5247294388678038,-2.5813216021877447e-16,1.0,1046
170,channel-1 bd2 all norm-1,0.5247294388678038,-2.5813216021877447e-16,1.0,1046
171,channel-1 bd2 all norm-2,0.4951371978600922,-1.3585903169409181e-17,0.9999999999999998,1046
172,channel-1 bd2 dim-1 max,0.593286753696921,-3.2606167606582037e-16,1.0,1046
173,channel-1 bd2 dim-1 mean,0.42712215312674723,-1.0189427377056886e-16,1.0,1046
174,channel-1 bd2 dim-1 std,0.6552530103573015,-1.2227312852468263e-16,0.9999999999999998,1046
175,channel-1 bd2 dim-1 sum,0.6280905588104264,1.49444934863501e-16,1.0,1046
176,channel-1 bd2 dim-1 norm-1,0.6280905588104264,1.49444934863501e-16,1.0,1046
177,channel-1 bd2 dim-1 norm-2,0.5860740661308534,1.9020264437172855e-16,1.0,1046
178,channel-1 bd2 dim-2 max,0.4944100386474915,-2.377533054646607e-17,1.0,1043
179,channel-1 bd2 dim-2 mean,0.4585307154013186,2.3605506756848455e-16,1.0,1043
180,channel-1 bd2 dim-2 std,0.6387446628715656,-1.8340969278702395e-16,1.0,1023
181,channel-1 bd2 dim-2 sum,0.048024703250843376,-2.0378854754113773e-17,1.0,1043
182,channel-1 bd2 dim-2 norm-1,0.048024703250843376,-2.0378854754113773e-17,1.0,1043
183,channel-1 bd2 dim-2 norm-2,0.26442589628611557,6.792951584704591e-17,1.0,1043
184,channel-2 entropy dim-1,0.7205323664346182,1.1548017693997805e-16,1.0,1046
185,channel-2 entropy dim-2,0.29764795063382227,-1.426519832787964e-16,1.0,1046
186,channel-2 numberofpoints dim-1,0.3428065545935446,-8.151541901645509e-17,1.0,67
187,channel-2 numberofpoints dim-2,0.42099733418708535,4.755066109293214e-17,0.9999999999999998,34
188,channel-2 amplitude-bottleneck dim-1,0.8198424461090023,-5.4343612677636724e-17,1.0000000000000002,1046
189,channel-2 amplitude-bottleneck dim-2,0.37453753325097394,1.6982378961761476e-16,1.0,1045
190,channel-2 amplitude-bottleneck norm-1,0.7338587901107637,-3.3964757923522954e-17,1.0,1046
191,channel-2 amplitude-bottleneck norm-2,0.8188791964351501,2.853039665575928e-16,1.0,1046
192,channel-2 amplitude-wasserstein-1 dim-1,0.4414866826805187,1.5538876750011751e-16,1.0,1046
193,channel-2 amplitude-wasserstein-1 dim-2,0.25608466607686664,-1.6982378961761476e-16,1.0,1046
194,channel-2 amplitude-wasserstein-1 norm-1,0.37809661481251877,4.0078414349757084e-16,1.0000000000000004,1046
195,channel-2 amplitude-wasserstein-1 norm-2,0.4585119425830087,-5.345203778214425e-16,0.9999999999999998,1046
196,channel-2 amplitude-wasserstein-2 dim-1,0.5359589912830708,-1.2227312852468263e-16,1.0,1046
197,channel-2 amplitude-wasserstein-2 dim-2,0.09570511841522632,-9.510132218586428e-17,1.0,1046
198,channel-2 amplitude-wasserstein-2 norm-1,0.5231913545753272,-4.075770950822754e-16,1.0,1046
199,channel-2 amplitude-wasserstein-2 norm-2,0.5806803871930457,-2.173744507105469e-16,0.9999999999999996,1046
200,channel-2 amplitude-betti-1 dim-1,0.4856607481467807,1.2354680694681476e-16,0.9999999999999998,84
201,channel-2 amplitude-betti-1 dim-2,0.22624579033536957,-1.2227312852468263e-16,1.0,28
202,channel-2 amplitude-betti-1 norm-1,0.40692211729359334,-2.5133920863406984e-16,1.0,631
203,channel-2 amplitude-betti-1 norm-2,0.484707658665874,-1.0308304029789216e-15,0.9999999999999998,631
204,channel-2 amplitude-betti-2 dim-1,0.33572749118753453,1.7661674120231937e-16,1.0000000000000002,749
205,channel-2 amplitude-betti-2 dim-2,0.30742071020254125,-8.830837060115968e-17,1.0000000000000002,91
206,channel-2 amplitude-betti-2 norm-1,0.3001561016171105,5.298502236069581e-16,1.0,1036
207,channel-2 amplitude-betti-2 norm-2,0.33755369886599706,8.830837060115968e-17,1.0,1036
208,channel-2 amplitude-landscape-1-1 dim-1,0.8187309555410306,5.4343612677636724e-17,1.0,1046
209,channel-2 amplitude-landscape-1-1 dim-2,0.45307454485354304,-3.3964757923522952e-18,1.0,1040
210,channel-2 amplitude-landscape-1-1 norm-1,0.8654283170331555,2.7171806338818362e-17,1.0,1046
